Title Name,Language,Type,Rating,IMDb,Cover Image Path
Forest of Piano,TV,Japanese,TV-14,7.0/10,images\AAAABfbsiac8ASe9adrP3mIWwsFEOrkF0rrb-514hccJNBkkoczeiWqv9U90mKqPYyRIVZY57uAh2t1QqL2x2GdDp0iocNjuelaRd8h--lK-6wSFOC5LBl6PeFTVA2Zax-00caT3OGGzpVpqLIzbteSZig.jpg
From Me to You: Kimi ni Todoke,TV,Japanese,TV-PG,,
Garouden: The Way of the Lone Wolf,TV,English,TV-MA,,images\garoudenthewayofthelonewolf.jpeg
Ghost in the Shell: SAC_2045,TV,Japanese,TV-14,,images\AAAABb8d1AfEUy16kzwkBsoLjqFb1s0O0l7XVY2gMV4EwEJaaj-7lLmK0b1j-9FaDi2AGXUF6F6pdZX0QiqBuJ3rSq5Ay8aE1lgu-E0kgZfArlnZRzBbXkUZ5mQMYt-0tg.jpg
Ghost in the Shell: SAC_2045 Sustainable War,Movie,Japanese,TV-MA,,images\ghostintheshellsac2045sustainablewar.jpeg
Girls und Panzer der Film,Movie,Japanese,TV-MA,7.3/10,images\AAAABUcIh_Jltg5XxCCceg0izzg_A1MVkP7oQ_iJeUo69SiNvOdxZVaqKf5pXZMwQ3LunZm5E5BRXveXDVptybexA-sb3HIC.jpg
God Troubles Me,TV,Mandarin,TV-PG,,images\godtroublesme.jpeg
GODZILLA City on the Edge of Battle,Movie,Japanese,TV-14,5.8/10,images\AAAABaIOKROo9XKAQIl98d3uzsWXMaVaUjHpUjwj-JIibf1pfF6wmwbjfki7K9iyxCF7n7z7krTkyMnaAhLu-h44nO8-17-n41ddLw.jpg
GODZILLA Planet of the Monsters,TV,Japanese,TV-14,6.0/10,
Godzilla Singular Point,TV,Japanese,TV-14,,images\godzillasingularpoint.jpeg
GODZILLA The Planet Eater,Movie,Japanese,TV-PG,5.0/10,
GOOD NIGHT WORLD,TV,Japanese,TV-MA,,images\goodnightworld.jpeg
Grave of the Fireflies,Movie,Japanese,TV-14,,images\graveofthefireflies.jpeg
Great Pretender,TV,Japanese,TV-MA,,images\greatpretender.jpeg
Gundam: Requiem for Vengeance,TV,English,TV-MA,,images\gundamrequiemforvengeance.jpeg
Gurren Lagann,TV,Japanese,TV-14,8.3/10,images\AAAABVf2PxvVp5Qw8VTNxXTvcZokuFXoWY8qqRqAtRwuuo4g-x6ioPw9ljhPSji7U1Uz3waGPyi-4GsbM9EIcdTPB1vEnpvaAM0mqw.jpg
